Skin	Heart	Brain	Muscle	Spleen	Adipose	Thyroid	Colon	Lung	Liver	Pituitary	Adrenal
RHBDL3	0	0	0	0	0	1	0	0	0	0	0	0
CDH18	0	0	0	0	0	0	0	0	0	0	0	-1
KCNAB2	0	0	0	0	0	0	0	0	0	0	1	0
ESRP2	0	0	0	0	0	0	0	0	-1	0	0	0
MRPL22	0	0	0	0	0	-1	0	0	0	0	0	0
MRPL28	0	0	0	0	1	0	0	0	0	0	0	0
TCN2	0	0	0	0	0	0	0	-1	0	0	0	0
TASP1	0	0	0	0	0	0	0	0	0	1	0	0
PLEKHG1	0	0	-1	0	0	0	1	0	0	0	0	0
FAM69B	0	0	0	0	0	0	1	0	0	0	0	0
PES1	0	0	0	0	0	-1	0	0	0	0	0	0
TBCEL	0	0	0	0	0	1	0	0	0	0	0	0
PTPRF	0	0	0	0	0	0	0	0	0	0	1	0
CHADL	0	0	0	0	0	0	0	0	0	0	1	0
MAP4K1	0	0	0	0	0	1	-1	0	0	0	0	0
PGGT1B	0	0	0	0	0	-1	0	0	0	0	0	0
PI4KA	0	0	0	0	0	1	0	0	0	0	0	0
IKZF3	0	0	0	0	0	0	-1	0	0	0	0	0
FAR2	0	0	0	0	0	0	0	0	0	0	1	0
TRMT1L	0	0	0	0	0	0	0	0	0	0	-1	0
STAP2	0	0	0	0	0	0	0	0	0	0	0	1
HELZ2	0	0	0	0	0	0	0	0	0	0	0	1
ERGIC2	0	-1	0	0	0	0	0	0	0	0	0	0
WFDC2	0	0	0	0	0	0	0	0	0	0	1	0
MN1	0	0	0	0	0	0	0	0	1	0	1	0
CD163	-1	0	0	-1	0	0	0	0	0	0	0	0
SLC4A7	0	0	0	0	-1	0	0	0	0	0	0	0
MIDN	0	0	0	0	0	-1	0	0	0	0	0	0
EDN1	-1	0	0	0	0	0	0	0	0	0	0	0
LRRC45	0	0	0	0	0	0	0	0	0	0	0	1
LARS	0	-1	0	0	0	0	0	0	0	0	-1	0
SLC26A11	0	0	0	0	0	1	0	0	0	0	0	0
ADORA1	0	0	0	0	0	0	0	0	0	0	1	0
C1QBP	0	0	0	0	0	-1	0	0	0	0	0	0
PCDH12	0	0	0	0	0	1	0	0	0	0	0	0
IER5L	0	0	0	0	1	0	0	0	0	0	1	0
TMEM88	0	0	0	0	0	0	0	-1	0	0	0	0
DIAPH1	0	0	0	0	0	1	0	0	0	0	0	0
CD276	0	0	0	0	1	0	0	0	0	1	0	0
RAB11FIP2	0	0	0	0	-1	0	1	0	0	0	-1	0
LIN7B	0	0	0	0	0	1	0	0	0	0	0	0
CD69	0	0	0	0	0	1	0	1	0	0	0	0
PPP1R26	0	0	0	0	0	0	1	0	0	0	0	0
ABHD15	0	0	-1	0	0	0	0	0	0	0	1	0
USP31	0	0	0	0	0	0	0	0	1	0	0	0
DSP	0	0	0	0	0	0	0	0	0	0	1	0
PPP1R12C	-1	0	0	0	0	0	0	0	0	0	0	0
GABRE	0	0	0	0	0	0	0	-1	0	0	0	0
ARTN	0	0	0	0	0	0	0	0	0	0	1	0
C1QB	0	0	0	-1	0	0	0	0	0	0	0	0
ZBTB16	-1	-1	0	0	-1	0	0	0	0	0	0	0
IKZF2	0	0	0	0	-1	0	0	0	0	0	0	0
NR6A1	0	0	0	0	0	0	-1	0	0	0	0	0
SIX5	0	0	0	-1	0	0	0	0	0	0	0	1
PNCK	-1	0	0	0	0	0	0	0	0	0	0	0
BRIX1	0	0	0	0	0	-1	0	0	0	0	0	0
TNNT2	0	0	0	0	0	0	0	0	0	0	1	0
FAM169A	0	0	0	0	0	0	0	0	0	0	0	-1
EVL	0	0	0	1	0	1	0	0	0	0	0	0
TSKU	0	0	0	0	0	0	0	0	0	-1	0	0
ACLY	0	0	0	-1	0	-1	0	0	0	0	0	0
PELI2	0	0	0	0	0	1	0	0	0	0	0	0
DUSP3	0	0	0	1	1	0	0	0	0	0	0	0
GAMT	0	0	0	0	0	0	0	0	0	0	1	0
TAGLN	0	0	0	0	0	-1	0	0	0	0	0	0
GNG8	0	0	0	0	0	0	0	0	0	0	1	0
RNF157	-1	0	0	0	0	0	0	0	0	0	0	0
ZNF185	0	0	0	0	0	1	0	0	0	0	0	-1
POU2AF1	0	0	0	0	0	0	0	1	0	0	0	0
IGF2	-1	0	0	0	0	0	0	0	0	0	1	0
CLEC3B	0	0	0	0	0	0	0	0	0	0	1	0
NR2F6	0	0	0	0	1	0	0	0	0	0	0	0
KCNN4	0	0	0	0	0	1	-1	0	0	0	0	0
PRMT3	0	0	0	0	0	-1	0	0	0	0	-1	0
IRS1	0	0	0	0	0	-1	0	0	0	0	-1	0
RAB3IP	0	0	0	-1	0	0	0	0	0	0	0	0
OTUB2	0	0	0	0	0	0	0	0	0	-1	0	0
ST7	0	0	0	0	0	0	1	0	0	0	-1	0
ADD3	0	0	0	0	-1	0	0	0	0	0	0	0
PCYT2	0	0	0	0	0	-1	0	0	-1	-1	0	0
RPS6KA5	0	0	0	0	0	1	0	0	0	0	0	0
CEP164	0	0	0	0	0	0	0	0	0	0	-1	0
RTN4RL2	0	0	0	0	0	0	1	0	0	0	0	0
SESN3	0	0	0	0	0	0	1	0	0	0	0	0
QKI	0	0	0	1	0	0	0	0	0	0	0	0
FHOD1	0	0	0	1	0	0	0	0	0	0	0	0
ANO8	0	0	0	0	0	0	0	0	0	-1	0	0
COQ4	1	0	0	0	0	0	0	0	0	0	0	0
FCHSD1	0	0	0	0	0	0	0	0	0	0	0	1
PCSK7	0	0	1	0	0	0	0	0	0	0	0	0
SYNE3	-1	0	0	0	0	0	0	0	0	1	1	0
LRRC41	0	0	0	0	1	-1	0	0	0	0	0	0
TTLL5	0	-1	0	0	0	0	0	0	0	0	0	0
ZNF462	1	0	0	0	0	0	0	0	0	0	0	0
THBS4	0	0	0	0	0	0	0	0	0	0	0	1
NFKBIA	0	0	0	-1	0	0	0	0	0	0	0	0
NELL1	0	0	0	0	0	0	0	0	0	0	1	0
TSPAN33	0	0	0	0	0	0	0	0	0	0	1	0
ATP6V1B2	0	0	0	0	0	0	0	0	0	0	0	-1
LASP1	0	0	0	0	1	0	0	0	0	0	0	0
CD22	0	0	0	0	0	1	0	0	0	0	0	0
SYT11	-1	0	0	0	0	0	0	0	0	0	0	0
GNAI1	0	0	0	0	0	0	0	0	0	1	0	0
LYRM7	0	0	0	0	-1	0	0	0	0	0	0	0
HSD3B7	0	0	0	0	1	0	0	0	0	0	0	0
HSPBAP1	0	0	0	0	0	1	0	0	0	0	0	0
GAR1	0	0	0	0	0	-1	0	0	0	0	0	0
CEBPA	0	0	0	0	1	0	0	0	0	0	0	0
FGD5	0	0	0	0	0	0	0	0	0	0	1	0
CCT2	0	-1	0	0	0	-1	0	0	0	0	0	0
RBFOX3	0	0	0	0	1	0	0	0	0	0	0	0
ENGASE	0	0	0	0	0	1	0	0	0	0	0	0
NTMT1	0	0	0	0	0	-1	0	0	0	0	0	0
ANKRD9	0	0	0	0	0	0	0	0	0	0	1	0
TFPT	0	0	0	0	1	0	0	0	0	0	0	0
FAM114A2	0	0	0	0	0	0	0	0	0	0	-1	0
STOML1	0	0	0	0	0	0	0	0	-1	0	0	0
CYGB	0	0	0	0	0	0	0	0	0	0	1	0
RALGPS1	0	1	0	0	0	0	0	0	0	0	0	0
TMEM126A	0	0	0	0	0	-1	0	0	0	0	0	0
ACVRL1	-1	0	0	0	1	0	0	0	0	0	0	0
EIF2B1	0	0	0	0	0	0	0	0	0	0	-1	0
OAZ3	1	0	0	0	0	0	0	0	0	0	0	0
ATP2A2	0	0	0	0	0	0	0	0	0	0	0	-1
CEP295	0	0	0	0	0	0	0	0	0	0	-1	0
NUP62	0	0	0	-1	0	-1	0	0	0	0	0	0
KIF2C	1	0	0	0	0	0	0	0	0	0	0	0
MED25	0	0	0	0	0	0	0	0	0	0	0	1
SNCAIP	0	0	0	0	0	1	0	0	0	0	0	0
FER	0	0	0	0	0	0	0	0	0	0	0	-1
SMG6	0	0	0	0	0	1	0	0	0	0	0	1
JMJD4	0	0	0	0	0	0	1	0	0	0	0	0
PPP6C	0	0	0	0	0	-1	0	0	0	0	0	0
MPDZ	0	0	0	1	0	0	0	0	0	0	0	0
VPS45	0	0	0	0	0	0	0	0	0	0	-1	0
HMBS	0	0	0	0	0	-1	0	0	0	0	0	0
BCL2L1	0	-1	0	-1	1	0	0	0	0	0	0	0
TRAK1	0	0	0	1	0	0	0	0	0	0	0	0
MKS1	0	0	0	0	0	0	0	0	0	0	0	1
RYR1	0	0	0	1	0	0	0	0	0	0	0	0
GRAMD1A	0	0	0	0	0	0	0	0	0	0	0	1
MAGI1	0	0	0	1	0	1	0	0	0	0	0	0
ATAD2B	0	0	0	0	0	0	0	0	0	0	-1	0
KIAA1191	0	0	0	0	0	0	1	0	0	0	0	0
BBS2	0	0	0	0	0	0	0	-1	0	0	0	0
TBXAS1	-1	0	0	0	0	0	0	0	0	-1	1	0
PAIP1	0	0	0	1	0	0	0	0	0	0	0	0
CDKN2AIPNL	0	0	0	1	0	0	0	0	0	0	0	0
SMPDL3A	0	0	0	0	0	0	0	0	0	0	-1	0
ACACA	0	0	0	-1	0	0	0	0	0	0	0	0
CD40	0	0	0	0	0	0	0	0	0	0	1	0
SLC7A5	0	0	0	0	0	-1	0	0	0	-1	0	0
FRMPD4	0	0	0	0	0	0	0	0	0	0	-1	0
PTPDC1	0	0	0	0	0	0	0	-1	0	0	0	0
AACS	0	1	0	0	0	-1	0	0	0	-1	0	0
LIN37	0	0	0	-1	0	0	0	0	-1	0	0	0
ALPL	0	0	0	0	0	-1	0	-1	0	0	0	0
SIRT6	0	0	0	0	0	0	0	0	0	0	0	1
ERLIN1	0	0	0	0	0	0	0	0	0	0	-1	0
MAML2	0	0	0	0	-1	1	0	0	0	0	0	0
TDP2	0	0	-1	0	0	0	0	0	0	0	-1	0
FAM171B	0	0	-1	0	0	0	0	0	0	0	0	0
NLK	0	0	0	0	0	0	0	0	0	1	0	0
IL17RE	0	0	0	0	0	1	0	0	0	0	0	0
EIF2B3	1	0	0	0	0	0	0	0	0	0	0	-1
NUAK1	0	0	0	-1	0	0	0	0	0	0	0	0
KANSL1L	0	0	0	0	-1	0	0	0	0	0	0	0
LPAR1	0	0	0	0	0	0	0	0	0	0	1	0
ZXDC	0	0	0	0	0	-1	0	0	0	0	0	0
GDF15	0	0	0	0	1	0	0	0	0	0	0	0
GNB4	0	0	0	0	0	1	0	0	0	0	0	0
JAK1	0	0	0	1	0	0	0	0	0	0	0	0
ACSS3	0	0	-1	0	0	0	0	0	0	0	0	0
HECTD4	0	0	1	0	0	1	0	0	1	0	0	0
ADGRD1	0	1	0	0	0	0	0	0	0	0	1	0
BCL11B	0	0	0	0	0	0	-1	0	0	0	0	0
MRI1	0	0	0	0	0	0	0	0	-1	0	0	1
PSMD8	0	0	0	0	0	-1	0	0	0	0	0	0
CCM2L	0	0	0	0	0	0	0	-1	0	0	0	0
TOR1A	0	0	0	-1	0	0	0	0	0	0	0	0
SLC2A8	0	0	0	0	1	0	0	0	0	0	0	1
TMC8	0	0	0	0	0	1	0	0	0	0	0	0
MZB1	0	0	0	0	0	0	0	1	0	0	0	0
KCNT1	0	0	0	0	0	0	0	0	0	0	-1	0
ANGPT4	-1	0	0	0	0	0	0	0	0	0	0	0
TAGLN2	0	0	0	0	0	0	0	0	0	0	1	0
EVPL	0	0	0	0	0	0	0	0	0	0	0	1
STXBP2	0	0	0	0	0	0	-1	0	0	0	0	1
SCN7A	-1	0	0	0	0	0	0	0	0	0	0	0
SPEF2	0	0	0	0	-1	0	0	0	0	0	0	0
GNG4	0	0	1	0	0	0	0	0	0	0	0	0
TPCN1	0	1	0	0	0	0	0	0	0	0	0	0
ACBD4	0	0	0	0	0	1	0	0	0	0	0	0
SMARCC2	0	0	0	0	0	1	0	0	0	0	0	0
FGFRL1	-1	0	0	0	0	0	0	0	0	0	0	0
TM6SF1	-1	0	0	0	0	0	0	0	0	0	0	0
EEF2K	0	0	0	0	0	0	-1	0	0	0	0	0
PNPLA8	0	0	-1	0	0	0	0	0	0	0	0	0
RIN3	0	0	0	0	0	0	0	0	0	0	1	0
STON2	0	0	-1	0	0	0	1	0	0	0	0	0
EMP3	0	0	0	0	0	0	0	0	0	0	0	1
REM1	0	0	0	0	0	1	0	0	0	0	0	0
NPHP1	0	-1	0	0	0	0	0	0	0	0	0	0
EFR3B	0	0	0	0	0	0	0	0	0	0	-1	0
STUB1	0	0	0	0	1	0	0	0	0	0	0	0
GNB5	0	0	0	0	0	0	0	0	0	0	-1	0
YTHDC1	0	0	0	0	-1	0	0	0	0	0	-1	0
EZH1	0	0	0	0	0	1	0	0	0	0	0	0
LMOD3	0	0	0	1	0	0	0	0	0	0	0	0
CDC42SE2	0	0	0	0	-1	0	0	0	0	0	0	0
MAPK9	0	0	0	0	0	0	1	0	0	0	0	0
SLAMF8	-1	0	0	0	0	0	0	0	-1	0	0	0
HCRTR1	0	0	0	0	0	0	-1	0	0	0	0	0
TRIB1	0	0	0	1	0	-1	0	0	0	1	0	0
KCTD20	0	0	0	0	0	0	0	1	0	0	0	0
ORMDL1	0	0	0	0	0	0	0	0	0	0	-1	0
CHN1	0	0	0	0	0	0	0	-1	0	0	0	0
FOXO1	-1	0	0	0	-1	0	0	0	0	0	0	0
TRIM44	0	0	0	0	0	-1	0	0	0	0	0	0
ATP10A	0	0	0	0	0	0	-1	0	0	0	1	0
ABHD18	0	0	0	0	0	0	0	0	0	1	0	0
EPS15L1	0	0	0	-1	0	0	0	0	0	0	0	0
SQSTM1	0	0	0	0	1	0	0	0	0	0	0	0
NCOA2	0	0	0	0	0	0	0	0	0	0	-1	0
PPP1R15B	0	0	0	0	0	-1	0	0	0	0	0	0
APBA1	-1	0	0	0	0	0	0	0	0	0	0	0
SLC25A39	0	0	0	0	1	0	0	0	0	0	0	0
NPB	0	0	1	0	0	0	0	0	0	0	0	0
TNFAIP2	0	1	0	0	0	0	0	0	0	0	1	1
BCL3	0	0	0	0	1	-1	0	0	0	0	0	1
NRDE2	0	1	0	0	0	0	0	0	0	0	0	0
CRAT	0	0	0	0	0	0	0	0	0	0	1	0
FAM216A	0	-1	0	0	0	0	0	0	0	0	0	0
PKHD1L1	0	0	0	0	0	1	0	0	0	0	0	0
TRAF4	0	0	1	0	0	-1	0	0	0	0	0	0
C3orf70	0	0	0	0	0	0	0	1	0	0	0	0
ZNF566	0	0	0	0	-1	0	0	0	0	0	0	0
PDZD8	0	0	0	0	0	0	0	0	1	0	0	0
PTCD2	0	0	0	1	0	0	0	0	0	0	0	0
C14orf28	0	0	0	0	0	0	0	0	0	0	-1	0
TRMT1	0	0	0	0	0	-1	0	0	0	0	0	0
WDR19	0	0	0	0	0	0	0	0	0	0	-1	0
COBL	0	0	1	0	0	0	0	0	0	0	0	0
POLG2	0	0	0	0	-1	0	0	0	0	0	0	0
MILR1	0	0	0	0	0	0	0	0	-1	0	0	0
RASIP1	0	0	0	0	1	0	0	0	0	0	0	0
ABHD3	0	0	0	0	0	0	-1	0	0	0	0	0
HDC	0	0	0	0	0	1	0	0	0	0	0	0
DPM2	0	0	0	-1	0	0	0	0	0	0	0	0
AKT3	0	0	0	0	-1	0	0	0	0	0	0	0
TGFB2	0	0	-1	0	0	0	0	0	0	0	0	0
ZNF358	0	0	0	1	0	0	0	0	0	0	0	0
CPNE5	0	0	0	0	0	0	0	0	0	0	1	0
KBTBD8	0	0	0	0	-1	0	0	0	0	0	0	0
EDNRB	-1	0	0	0	0	0	0	0	0	0	0	0
BATF2	0	0	0	0	0	0	0	0	0	0	0	1
MRPL50	0	0	0	0	0	-1	0	0	0	0	0	0
SCN2A	0	0	0	0	0	0	0	0	0	0	-1	0
PIK3CD	0	0	0	0	1	0	0	0	0	0	0	0
SLC22A23	0	0	0	0	1	0	0	0	0	0	0	0
FAM214B	0	0	0	0	1	0	0	0	0	0	0	0
SS18L2	0	0	0	0	0	-1	0	0	0	0	0	0
ADGRL1	0	1	0	0	0	0	0	0	0	0	0	0
PIK3C2B	0	1	0	0	0	0	0	0	1	0	0	0
SORCS1	0	0	0	0	0	0	0	0	0	0	1	0
FLT3LG	0	0	0	0	0	0	0	0	0	0	1	1
RPTOR	0	0	0	0	1	0	1	0	0	0	0	0
SECISBP2	0	0	0	0	0	0	0	0	0	0	-1	0
HCK	0	0	0	0	0	0	-1	0	0	0	0	0
QSOX2	0	0	0	-1	0	0	0	0	0	0	0	0
UST	0	0	0	0	0	1	0	0	0	0	0	0
TTC7B	0	0	0	0	1	0	0	0	0	0	0	0
KCNK13	0	0	0	0	0	0	0	0	-1	0	0	0
DACT3	0	0	0	0	0	0	0	0	0	0	1	0
FAM213A	0	0	0	0	0	0	0	0	0	0	1	0
GPR180	0	0	0	0	0	0	0	0	0	0	-1	-1
EBAG9	0	0	0	0	-1	0	0	0	0	0	0	0
TRIM47	0	0	0	0	1	0	0	0	0	0	0	0
CLDN1	0	0	0	0	0	1	0	0	0	0	0	0
MREG	0	0	0	0	-1	0	0	0	0	0	0	0
SERINC5	0	0	0	0	0	0	0	0	0	1	0	0
LRRTM2	0	0	0	0	0	0	0	0	0	0	-1	0
IRF2BP1	0	0	0	0	0	0	0	0	0	0	0	1
FAM210B	0	0	0	1	0	0	0	0	0	0	0	0
NGFR	0	0	0	0	0	-1	0	0	0	0	0	0
LURAP1	0	1	0	0	0	0	0	0	0	0	0	0
POMGNT1	0	0	0	0	1	0	0	0	0	0	0	0
AASDH	0	0	0	0	0	0	0	0	0	0	-1	0
PHACTR2	0	0	0	0	0	1	0	0	0	0	0	0
EDN3	0	0	0	0	0	0	1	0	0	0	0	0
HSPBP1	0	0	0	0	0	-1	0	0	0	0	0	0
TMEFF2	-1	0	0	0	0	0	0	0	0	0	0	0
SLC37A2	0	0	0	0	1	0	0	0	0	-1	1	0
POP7	0	0	0	0	0	-1	0	0	0	0	0	0
SPG7	0	1	0	0	0	1	0	0	0	0	0	0
TNNC1	0	0	0	0	0	0	1	0	0	0	0	0
WDR36	0	0	0	0	0	-1	0	0	0	0	-1	0
SIL1	0	0	0	0	0	0	0	0	0	1	0	0
MMP14	0	0	0	-1	0	0	0	0	0	0	0	1
CDK5RAP2	0	0	0	0	0	0	0	0	0	0	-1	0
ADAMTSL4	0	0	0	0	0	0	0	0	0	0	0	1
PSMC2	0	0	0	0	0	-1	0	0	0	0	0	0
TKT	0	0	0	-1	0	-1	0	0	0	0	1	0
TMEM94	0	0	0	0	0	0	0	0	0	0	-1	0
TCF21	0	0	0	0	0	0	0	0	0	0	1	0
PEAR1	-1	0	0	0	0	0	0	0	0	0	0	0
USP24	0	0	0	0	-1	0	0	0	0	0	0	0
PDP1	0	0	0	1	0	0	0	0	-1	0	0	0
UBR5	0	0	0	0	0	0	0	0	1	0	0	0
CCT4	0	0	0	0	0	0	0	0	0	0	0	-1
ZNF575	0	0	1	0	0	0	0	0	0	0	0	0
TAC1	0	0	0	0	0	0	0	0	0	0	1	0
AXIN2	0	0	0	0	0	0	-1	0	0	0	0	1
ADCY5	-1	0	0	0	0	0	0	0	0	0	0	0
ARRB1	0	0	0	0	1	0	0	0	0	0	0	0
CGN	0	0	1	0	0	0	0	0	0	0	1	0
RFNG	0	0	0	0	1	0	0	0	0	0	0	0
RHOD	1	0	0	0	0	0	0	0	0	0	0	0
NOTUM	0	0	0	0	0	0	-1	0	0	0	0	0
DERL2	0	-1	0	0	0	0	0	0	0	0	0	0
PYCR1	0	0	0	0	1	0	0	0	0	0	0	0
FCGRT	0	0	0	0	0	0	0	0	0	0	1	0
BAHCC1	0	0	0	0	0	0	0	0	0	0	1	0
NR3C1	0	0	0	0	0	0	0	0	0	0	1	0
LATS1	0	0	0	0	0	0	0	0	0	0	-1	0
LGALS8	0	0	0	0	0	0	0	0	0	1	0	0
DAAM1	0	0	0	0	0	0	0	0	0	0	-1	0
NDUFS7	0	0	0	0	1	0	0	0	0	0	0	0
CSRP1	0	0	0	0	0	0	0	0	0	0	1	0
OSGEP	0	0	0	1	0	0	0	0	0	0	0	0
PHOSPHO1	0	0	0	0	0	0	0	-1	0	0	0	0
H2AFX	0	0	0	0	0	0	0	0	0	0	1	0
COG7	0	0	0	0	0	1	0	0	0	0	0	0
FOXP1	1	0	0	0	0	0	0	0	0	0	0	0
DPF3	0	0	0	0	0	0	0	0	0	0	1	0
SNRNP35	0	0	0	1	0	0	-1	0	0	0	0	0
SFMBT1	1	0	0	0	0	0	0	0	0	0	0	0
TSR3	0	0	0	1	0	0	0	0	0	0	0	0
PLEKHA4	0	0	0	0	1	0	0	0	0	0	0	1
EPHX4	0	0	0	0	0	0	0	0	0	0	-1	0
FASN	0	0	1	-1	0	0	0	0	0	0	0	0
TBC1D2B	0	0	0	0	0	0	0	0	0	0	1	0
NOL11	0	0	0	0	0	0	0	0	0	0	-1	0
MYLK	0	0	0	0	0	0	0	0	0	0	1	0
PITPNC1	0	0	-1	0	0	0	0	0	0	0	0	0
VSTM4	0	0	0	0	0	0	0	0	0	0	1	0
ARHGEF2	0	0	0	0	0	0	0	0	0	0	1	0
ALG11	0	-1	0	0	0	0	0	0	0	0	0	0
PHLDB3	0	0	0	0	0	0	0	0	0	0	1	0
ATM	0	0	0	0	-1	0	-1	0	0	0	0	0
CYP4B1	-1	0	0	0	0	0	0	0	0	0	1	0
SAMD4A	0	0	0	1	0	0	0	0	0	0	0	0
AREL1	1	0	0	0	0	0	0	0	0	0	0	0
ANGPT1	0	0	0	0	0	0	0	0	0	0	-1	0
POC1A	0	0	0	0	0	-1	0	0	0	0	0	0
PPIP5K2	0	0	0	0	0	0	0	0	-1	0	0	0
MRPL24	0	0	0	0	0	-1	0	0	0	0	0	0
CLDN11	-1	0	0	0	0	0	0	0	0	0	0	1
BMPR1B	0	0	-1	0	0	0	1	0	0	0	0	0
TCIRG1	0	0	0	0	1	0	0	0	0	0	0	0
OAT	0	0	0	0	0	1	0	0	0	0	0	0
PRPF4B	0	0	0	0	0	0	0	0	0	0	-1	0
