Row.names,Gene.human.stable.ID,Macaque.gene.stable.ID,Mouse.gene.stable.ID,Rat.gene.stable.ID,Dog.gene.stable.ID
ABCG4,ENSG00000172350,ENSMFAG00000046033,ENSMUSG00000032131,ENSRNOG00000008862,ENSCAFG00000012198
ABCG5,ENSG00000138075,ENSMFAG00000003442,ENSMUSG00000040505,ENSRNOG00000005250,ENSCAFG00000002504
ABCG8,ENSG00000143921,ENSMFAG00000045442,ENSMUSG00000024254,ENSRNOG00000005420,ENSCAFG00000002518
ABHD11,ENSG00000106077,ENSMFAG00000041965,ENSMUSG00000040532,ENSRNOG00000018910,ENSCAFG00000012539
ABHD12,ENSG00000100997,ENSMFAG00000002681,ENSMUSG00000032046,ENSRNOG00000036934,ENSCAFG00000004389
ABHD12B,ENSG00000131969,ENSMFAG00000035570,ENSMUSG00000090121,ENSRNOG00000026855,ENSCAFG00000014594
ABHD13,ENSG00000139826,ENSMFAG00000031944,ENSMUSG00000040396,ENSRNOG00000014598,ENSCAFG00000006032
ABHD14B,ENSG00000114779,ENSMFAG00000001512,ENSMUSG00000042073,ENSRNOG00000012073,ENSCAFG00000009945
ABHD15,ENSG00000168792,ENSMFAG00000033088,ENSMUSG00000000686,ENSRNOG00000015002,ENSCAFG00000018922
ABHD16A,ENSG00000204427,ENSMFAG00000000198,ENSMUSG00000007036,ENSRNOG00000056637,ENSCAFG00000000607
ABHD17A,ENSG00000129968,ENSMFAG00000031369,ENSMUSG00000003346,ENSRNOG00000018212,ENSCAFG00000019448
ABHD17B,ENSG00000107362,ENSMFAG00000001017,ENSMUSG00000047368,ENSRNOG00000012514,ENSCAFG00000001821
ABHD17C,ENSG00000136379,ENSMFAG00000037832,ENSMUSG00000038459,ENSRNOG00000012683,ENSCAFG00000029013
ABHD18,ENSG00000164074,ENSMFAG00000039882,ENSMUSG00000037818,ENSRNOG00000013692,ENSCAFG00000003848
ABHD2,ENSG00000140526,ENSMFAG00000034068,ENSMUSG00000039202,ENSRNOG00000017120,ENSCAFG00000011583
ABHD3,ENSG00000158201,ENSMFAG00000045155,ENSMUSG00000002475,ENSRNOG00000029370,ENSCAFG00000018243
ABHD4,ENSG00000100439,ENSMFAG00000001529,ENSMUSG00000040997,ENSRNOG00000009244,ENSCAFG00000011146
ABHD5,ENSG00000011198,ENSMFAG00000038665,ENSMUSG00000032540,ENSRNOG00000000221,ENSCAFG00000004453
ABHD6,ENSG00000163686,ENSMFAG00000022753,ENSMUSG00000025277,ENSRNOG00000008167,ENSCAFG00000007394
ABHD8,ENSG00000127220,ENSMFAG00000028796,ENSMUSG00000007950,ENSRNOG00000000054,ENSCAFG00000015430
ABI1,ENSG00000136754,ENSMFAG00000031700,ENSMUSG00000058835,ENSRNOG00000031325,ENSCAFG00000004365
ABI2,ENSG00000138443,ENSMFAG00000031286,ENSMUSG00000026782,ENSRNOG00000017707,ENSCAFG00000012817
ABI3,ENSG00000108798,ENSMFAG00000032314,ENSMUSG00000018381,ENSRNOG00000005575,ENSCAFG00000016920
ABI3BP,ENSG00000154175,ENSMFAG00000043185,ENSMUSG00000035258,ENSRNOG00000001627,ENSCAFG00000009506
ABL2,ENSG00000143322,ENSMFAG00000036564,ENSMUSG00000026596,ENSRNOG00000004305,ENSCAFG00000013920
ABLIM1,ENSG00000099204,ENSMFAG00000046222,ENSMUSG00000025085,ENSRNOG00000046333,ENSCAFG00000011513
ABLIM2,ENSG00000163995,ENSMFAG00000033256,ENSMUSG00000029095,ENSRNOG00000007882,ENSCAFG00000014530
ABLIM3,ENSG00000173210,ENSMFAG00000044334,ENSMUSG00000032735,ENSRNOG00000019365,ENSCAFG00000018323
ABR,ENSG00000159842,ENSMFAG00000044480,ENSMUSG00000017631,ENSRNOG00000056837,ENSCAFG00000019060
ABRA,ENSG00000174429,ENSMFAG00000043594,ENSMUSG00000042895,ENSRNOG00000007999,ENSCAFG00000000682
ABRACL,ENSG00000146386,ENSMFAG00000046040,ENSMUSG00000078453,ENSRNOG00000051450,ENSCAFG00000000281
ABT1,ENSG00000146109,ENSMFAG00000038140,ENSMUSG00000036376,ENSRNOG00000017585,ENSCAFG00000029249
ABTB1,ENSG00000114626,ENSMFAG00000033156,ENSMUSG00000030083,ENSRNOG00000015762,ENSCAFG00000004082
ABTB2,ENSG00000166016,ENSMFAG00000001208,ENSMUSG00000032724,ENSRNOG00000008510,ENSCAFG00000006977
ACAA2,ENSG00000167315,ENSMFAG00000040240,ENSMUSG00000036880,ENSRNOG00000013766,ENSCAFG00000019019
ACACA,ENSG00000278540,ENSMFAG00000045655,ENSMUSG00000020532,ENSRNOG00000034013,ENSCAFG00000017996
ACACB,ENSG00000076555,ENSMFAG00000041953,ENSMUSG00000042010,ENSRNOG00000000658,ENSCAFG00000010991
ACAD10,ENSG00000111271,ENSMFAG00000044265,ENSMUSG00000029456,ENSRNOG00000037815,ENSCAFG00000008627
ACAD11,ENSG00000240303,ENSMFAG00000034200,ENSMUSG00000090150,ENSRNOG00000010940,ENSCAFG00000023835
ACAD8,ENSG00000151498,ENSMFAG00000038809,ENSMUSG00000031969,ENSRNOG00000048164,ENSCAFG00000009762
ACAD9,ENSG00000177646,ENSMFAG00000045035,ENSMUSG00000027710,ENSRNOG00000014178,ENSCAFG00000004350
ACADL,ENSG00000115361,ENSMFAG00000003569,ENSMUSG00000026003,ENSRNOG00000012966,ENSCAFG00000013856
ACADM,ENSG00000117054,ENSMFAG00000032655,ENSMUSG00000062908,ENSRNOG00000009845,ENSCAFG00000020393
ACADS,ENSG00000122971,ENSMFAG00000001168,ENSMUSG00000029545,ENSRNOG00000001177,ENSCAFG00000010446
ACADVL,ENSG00000072778,ENSMFAG00000040305,ENSMUSG00000018574,ENSRNOG00000018114,ENSCAFG00000016016
ACAN,ENSG00000157766,ENSMFAG00000019208,ENSMUSG00000030607,ENSRNOG00000028992,ENSCAFG00000011534
ACAP1,ENSG00000072818,ENSMFAG00000039943,ENSMUSG00000001588,ENSRNOG00000015674,ENSCAFG00000016225
ACAP2,ENSG00000114331,ENSMFAG00000039260,ENSMUSG00000049076,ENSRNOG00000001730,ENSCAFG00000013421
ACAP3,ENSG00000131584,ENSMFAG00000039429,ENSMUSG00000029033,ENSRNOG00000022307,ENSCAFG00000019294
ACAT1,ENSG00000075239,ENSMFAG00000044957,ENSMUSG00000032047,ENSRNOG00000007862,ENSCAFG00000014570
ACBD3,ENSG00000182827,ENSMFAG00000045670,ENSMUSG00000026499,ENSRNOG00000003185,ENSCAFG00000016115
ACBD4,ENSG00000181513,ENSMFAG00000045120,ENSMUSG00000056938,ENSRNOG00000003108,ENSCAFG00000013895
ACBD6,ENSG00000230124,ENSMFAG00000036354,ENSMUSG00000033701,ENSRNOG00000003550,ENSCAFG00000012761
ACCS,ENSG00000110455,ENSMFAG00000003720,ENSMUSG00000040272,ENSRNOG00000009199,ENSCAFG00000009497
ACD,ENSG00000102977,ENSMFAG00000038023,ENSMUSG00000038000,ENSRNOG00000038973,ENSCAFG00000020352
ACE2,ENSG00000130234,ENSMFAG00000039194,ENSMUSG00000015405,ENSRNOG00000031665,ENSCAFG00000012112
ACER1,ENSG00000167769,ENSMFAG00000043465,ENSMUSG00000045019,ENSRNOG00000047368,ENSCAFG00000018699
ACER2,ENSG00000177076,ENSMFAG00000003867,ENSMUSG00000038007,ENSRNOG00000007637,ENSCAFG00000029621
ACER3,ENSG00000078124,ENSMFAG00000041221,ENSMUSG00000030760,ENSRNOG00000036866,ENSCAFG00000005192
ACHE,ENSG00000087085,ENSMFAG00000037867,ENSMUSG00000023328,ENSRNOG00000050841,ENSCAFG00000014054
ACIN1,ENSG00000100813,ENSMFAG00000044437,ENSMUSG00000022185,ENSRNOG00000013533,ENSCAFG00000011427
ACKR2,ENSG00000144648,ENSMFAG00000012586,ENSMUSG00000044534,ENSRNOG00000019472,ENSCAFG00000005368
ACKR3,ENSG00000144476,ENSMFAG00000029542,ENSMUSG00000044337,ENSRNOG00000019622,ENSCAFG00000012206
ACKR4,ENSG00000129048,ENSMFAG00000030372,ENSMUSG00000079355,ENSRNOG00000011478,ENSCAFG00000006392
ACLY,ENSG00000131473,ENSMFAG00000001561,ENSMUSG00000020917,ENSRNOG00000016924,ENSCAFG00000015818
ACMSD,ENSG00000153086,ENSMFAG00000001001,ENSMUSG00000026348,ENSRNOG00000003884,ENSCAFG00000005020
ACO1,ENSG00000122729,ENSMFAG00000001702,ENSMUSG00000028405,ENSRNOG00000005849,ENSCAFG00000001786
ACO2,ENSG00000100412,ENSMFAG00000043571,ENSMUSG00000022477,ENSRNOG00000024128,ENSCAFG00000001075
ACOT11,ENSG00000162390,ENSMFAG00000038001,ENSMUSG00000034853,ENSRNOG00000007837,ENSCAFG00000019022
ACOT12,ENSG00000172497,ENSMFAG00000000202,ENSMUSG00000021620,ENSRNOG00000061414,ENSCAFG00000008698
ACOT13,ENSG00000112304,ENSMFAG00000035886,ENSMUSG00000006717,ENSRNOG00000018415,ENSCAFG00000010436
ACOT4,ENSG00000177465,ENSMFAG00000043300,ENSMUSG00000052392,ENSRNOG00000046864,ENSCAFG00000023593
ACOT6,ENSG00000205669,ENSMFAG00000036822,ENSMUSG00000043487,ENSRNOG00000029637,ENSCAFG00000023467
ACOT8,ENSG00000101473,ENSMFAG00000031839,ENSMUSG00000017307,ENSRNOG00000015187,ENSCAFG00000009768
ACOX1,ENSG00000161533,ENSMFAG00000032697,ENSMUSG00000020777,ENSRNOG00000008755,ENSCAFG00000004989
ACOX2,ENSG00000168306,ENSMFAG00000033938,ENSMUSG00000021751,ENSRNOG00000007378,ENSCAFG00000007261
ACOX3,ENSG00000087008,ENSMFAG00000037622,ENSMUSG00000029098,ENSRNOG00000008474,ENSCAFG00000014554
ACOXL,ENSG00000153093,ENSMFAG00000036885,ENSMUSG00000027380,ENSRNOG00000016179,ENSCAFG00000007073
ACP1,ENSG00000143727,ENSMFAG00000026470,ENSMUSG00000044573,ENSRNOG00000005260,ENSCAFG00000030097
ACP2,ENSG00000134575,ENSMFAG00000000393,ENSMUSG00000002103,ENSRNOG00000013594,ENSCAFG00000008833
ACP5,ENSG00000102575,ENSMFAG00000045308,ENSMUSG00000001348,ENSRNOG00000046261,ENSCAFG00000017319
ACP6,ENSG00000162836,ENSMFAG00000046287,ENSMUSG00000028093,ENSRNOG00000017494,ENSCAFG00000011059
ACPP,ENSG00000014257,ENSMFAG00000037154,ENSMUSG00000032561,ENSRNOG00000011820,ENSCAFG00000006237
ACR,ENSG00000100312,ENSMFAG00000034551,ENSMUSG00000022622,ENSRNOG00000029762,ENSCAFG00000000558
ACRBP,ENSG00000111644,ENSMFAG00000005997,ENSMUSG00000072770,ENSRNOG00000017399,ENSCAFG00000014778
ACSBG1,ENSG00000103740,ENSMFAG00000034157,ENSMUSG00000032281,ENSRNOG00000011381,ENSCAFG00000014189
ACSF2,ENSG00000167107,ENSMFAG00000042230,ENSMUSG00000076435,ENSRNOG00000003330,ENSCAFG00000017050
ACSF3,ENSG00000176715,ENSMFAG00000044180,ENSMUSG00000015016,ENSRNOG00000015077,ENSCAFG00000019849
ACSL1,ENSG00000151726,ENSMFAG00000033716,ENSMUSG00000018796,ENSRNOG00000010633,ENSCAFG00000007662
ACSL3,ENSG00000123983,ENSMFAG00000043391,ENSMUSG00000032883,ENSRNOG00000014718,ENSCAFG00000029045
ACSL4,ENSG00000068366,ENSMFAG00000036623,ENSMUSG00000031278,ENSRNOG00000019180,ENSCAFG00000018063
ACSL5,ENSG00000197142,ENSMFAG00000001207,ENSMUSG00000024981,ENSRNOG00000016265,ENSCAFG00000010928
ACSM3,ENSG00000005187,ENSMFAG00000029841,ENSMUSG00000030935,ENSRNOG00000032246,ENSCAFG00000017952
ACSM5,ENSG00000183549,ENSMFAG00000003399,ENSMUSG00000030972,ENSRNOG00000031211,ENSCAFG00000023658
ACSS1,ENSG00000154930,ENSMFAG00000003063,ENSMUSG00000027452,ENSRNOG00000007102,ENSCAFG00000004360
ACSS2,ENSG00000131069,ENSMFAG00000037662,ENSMUSG00000027605,ENSRNOG00000018755,ENSCAFG00000007637
ACSS3,ENSG00000111058,ENSMFAG00000040344,ENSMUSG00000035948,ENSRNOG00000004448,ENSCAFG00000005820
ACTA1,ENSG00000143632,ENSMFAG00000002280,ENSMUSG00000031972,ENSRNOG00000017786,ENSCAFG00000008253
ACTB,ENSG00000075624,ENSMFAG00000031981,ENSMUSG00000029580,ENSRNOG00000034254,ENSCAFG00000016020
ACTC1,ENSG00000159251,ENSMFAG00000039604,ENSMUSG00000068614,ENSRNOG00000008536,ENSCAFG00000012181
ACTG2,ENSG00000163017,ENSMFAG00000003169,ENSMUSG00000059430,ENSRNOG00000029401,ENSCAFG00000008756
ACTL6A,ENSG00000136518,ENSMFAG00000030153,ENSMUSG00000027671,ENSRNOG00000011553,ENSCAFG00000011364
ACTL6B,ENSG00000077080,ENSMFAG00000038744,ENSMUSG00000029712,ENSRNOG00000001408,ENSCAFG00000014302
ACTN1,ENSG00000072110,ENSMFAG00000003078,ENSMUSG00000015143,ENSRNOG00000056756,ENSCAFG00000016534
ACTN2,ENSG00000077522,ENSMFAG00000041700,ENSMUSG00000052374,ENSRNOG00000017833,ENSCAFG00000010822
ACTN3,ENSG00000248746,ENSMFAG00000043864,ENSMUSG00000006457,ENSRNOG00000019745,ENSCAFG00000012504
ACTN4,ENSG00000130402,ENSMFAG00000033669,ENSMUSG00000054808,ENSRNOG00000020433,ENSCAFG00000005776
ACTR10,ENSG00000131966,ENSMFAG00000012469,ENSMUSG00000021076,ENSRNOG00000007504,ENSCAFG00000015269
ACTR1A,ENSG00000138107,ENSMFAG00000041926,ENSMUSG00000025228,ENSRNOG00000019725,ENSCAFG00000010210
ACTR1B,ENSG00000115073,ENSMFAG00000028601,ENSMUSG00000037351,ENSRNOG00000016789,ENSCAFG00000002380
ACTR2,ENSG00000138071,ENSMFAG00000044097,ENSMUSG00000020152,ENSRNOG00000004959,ENSCAFG00000003197
ACTR3,ENSG00000115091,ENSMFAG00000041594,ENSMUSG00000026341,ENSRNOG00000003206,ENSCAFG00000004985
ACTR3B,ENSG00000133627,ENSMFAG00000034566,ENSMUSG00000056367,ENSRNOG00000031855,ENSCAFG00000004971
ACTR5,ENSG00000101442,ENSMFAG00000001911,ENSMUSG00000037761,ENSRNOG00000023989,ENSCAFG00000009000
ACTR6,ENSG00000075089,ENSMFAG00000040575,ENSMUSG00000019948,ENSRNOG00000007875,ENSCAFG00000006719
ACTR8,ENSG00000113812,ENSMFAG00000042471,ENSMUSG00000015971,ENSRNOG00000015280,ENSCAFG00000008248
ACVR1,ENSG00000115170,ENSMFAG00000042305,ENSMUSG00000026836,ENSRNOG00000005033,ENSCAFG00000009287
ACVR1B,ENSG00000135503,ENSMFAG00000031949,ENSMUSG00000000532,ENSRNOG00000006934,ENSCAFG00000007357
ACVR1C,ENSG00000123612,ENSMFAG00000042281,ENSMUSG00000026834,ENSRNOG00000004828,ENSCAFG00000009269
ACVR2A,ENSG00000121989,ENSMFAG00000003464,ENSMUSG00000052155,ENSRNOG00000005334,ENSCAFG00000005507
ACVR2B,ENSG00000114739,ENSMFAG00000041141,ENSMUSG00000061393,ENSRNOG00000014477,ENSCAFG00000005035
ACVRL1,ENSG00000139567,ENSMFAG00000039766,ENSMUSG00000000530,ENSRNOG00000028713,ENSCAFG00000025220
ACYP1,ENSG00000119640,ENSMFAG00000042252,ENSMUSG00000008822,ENSRNOG00000006744,ENSCAFG00000015933
ACYP2,ENSG00000170634,ENSMFAG00000045208,ENSMUSG00000060923,ENSRNOG00000042419,ENSCAFG00000023070
ADAL,ENSG00000168803,ENSMFAG00000026391,ENSMUSG00000027259,ENSRNOG00000012166,ENSCAFG00000012043
ADAM10,ENSG00000137845,ENSMFAG00000003773,ENSMUSG00000054693,ENSRNOG00000054257,ENSCAFG00000016568
ADAM11,ENSG00000073670,ENSMFAG00000035588,ENSMUSG00000020926,ENSRNOG00000002753,ENSCAFG00000014102
ADAM12,ENSG00000148848,ENSMFAG00000039461,ENSMUSG00000054555,ENSRNOG00000018384,ENSCAFG00000012986
ADAM15,ENSG00000143537,ENSMFAG00000043971,ENSMUSG00000028041,ENSRNOG00000020590,ENSCAFG00000017100
ADAM17,ENSG00000151694,ENSMFAG00000039177,ENSMUSG00000052593,ENSRNOG00000060694,ENSCAFG00000003383
ADAM19,ENSG00000135074,ENSMFAG00000034190,ENSMUSG00000011256,ENSRNOG00000042980,ENSCAFG00000017357
ADAM22,ENSG00000008277,ENSMFAG00000001062,ENSMUSG00000040537,ENSRNOG00000042478,ENSCAFG00000001852
ADAM23,ENSG00000114948,ENSMFAG00000030094,ENSMUSG00000025964,ENSRNOG00000012424,ENSCAFG00000013414
ADAM28,ENSG00000042980,ENSMFAG00000039137,ENSMUSG00000014725,ENSRNOG00000014518,ENSCAFG00000009056
ADAM32,ENSG00000197140,ENSMFAG00000043270,ENSMUSG00000037437,ENSRNOG00000025728,ENSCAFG00000005841
ADAM33,ENSG00000149451,ENSMFAG00000043134,ENSMUSG00000027318,ENSRNOG00000021242,ENSCAFG00000006234
ADAM8,ENSG00000151651,ENSMFAG00000043182,ENSMUSG00000025473,ENSRNOG00000017897,ENSCAFG00000013440
ADAM9,ENSG00000168615,ENSMFAG00000039520,ENSMUSG00000031555,ENSRNOG00000017231,ENSCAFG00000005847
ADAMDEC1,ENSG00000134028,ENSMFAG00000007172,ENSMUSG00000022057,ENSRNOG00000030724,ENSCAFG00000024869
ADAMTS1,ENSG00000154734,ENSMFAG00000039719,ENSMUSG00000022893,ENSRNOG00000001607,ENSCAFG00000008586
ADAMTS10,ENSG00000142303,ENSMFAG00000040772,ENSMUSG00000024299,ENSRNOG00000008857,ENSCAFG00000018557
ADAMTS12,ENSG00000151388,ENSMFAG00000042081,ENSMUSG00000047497,ENSRNOG00000018865,ENSCAFG00000018844
ADAMTS13,ENSG00000160323,ENSMFAG00000000040,ENSMUSG00000014852,ENSRNOG00000005780,ENSCAFG00000019776
ADAMTS14,ENSG00000138316,ENSMFAG00000002509,ENSMUSG00000059901,ENSRNOG00000000563,ENSCAFG00000014083
ADAMTS15,ENSG00000166106,ENSMFAG00000009495,ENSMUSG00000033453,ENSRNOG00000009892,ENSCAFG00000009961
ADAMTS16,ENSG00000145536,ENSMFAG00000000579,ENSMUSG00000049538,ENSRNOG00000016812,ENSCAFG00000010395
ADAMTS17,ENSG00000140470,ENSMFAG00000005645,ENSMUSG00000058145,ENSRNOG00000037080,ENSCAFG00000010709
ADAMTS19,ENSG00000145808,ENSMFAG00000043585,ENSMUSG00000053441,ENSRNOG00000019577,ENSCAFG00000000722
ADAMTS2,ENSG00000087116,ENSMFAG00000002799,ENSMUSG00000036545,ENSRNOG00000061484,ENSCAFG00000000334
ADAMTS4,ENSG00000158859,ENSMFAG00000000375,ENSMUSG00000006403,ENSRNOG00000003538,ENSCAFG00000012836
ADAMTS5,ENSG00000154736,ENSMFAG00000000566,ENSMUSG00000022894,ENSRNOG00000057794,ENSCAFG00000024758
ADAMTS6,ENSG00000049192,ENSMFAG00000030204,ENSMUSG00000046169,ENSRNOG00000012655,ENSCAFG00000007352
ADAMTS7,ENSG00000136378,ENSMFAG00000042737,ENSMUSG00000032363,ENSRNOG00000028036,ENSCAFG00000014148
ADAMTS8,ENSG00000134917,ENSMFAG00000038449,ENSMUSG00000031994,ENSRNOG00000005574,ENSCAFG00000009972
ADAMTS9,ENSG00000163638,ENSMFAG00000036382,ENSMUSG00000030022,ENSRNOG00000023257,ENSCAFG00000006777
ADAMTSL1,ENSG00000178031,ENSMFAG00000042640,ENSMUSG00000066113,ENSRNOG00000006956,ENSCAFG00000001581
ADAMTSL2,ENSG00000197859,ENSMFAG00000001650,ENSMUSG00000036040,ENSRNOG00000027742,ENSCAFG00000023757
ADAMTSL3,ENSG00000156218,ENSMFAG00000002541,ENSMUSG00000070469,ENSRNOG00000010840,ENSCAFG00000013288
ADAMTSL4,ENSG00000143382,ENSMFAG00000002869,ENSMUSG00000015850,ENSRNOG00000049385,ENSCAFG00000012044
ADAMTSL5,ENSG00000185761,ENSMFAG00000036443,ENSMUSG00000043822,ENSRNOG00000033787,ENSCAFG00000019512
ADAP1,ENSG00000105963,ENSMFAG00000030586,ENSMUSG00000056413,ENSRNOG00000054033,ENSCAFG00000011344
ADAP2,ENSG00000184060,ENSMFAG00000035732,ENSMUSG00000020709,ENSRNOG00000037148,ENSCAFG00000018466
ADAR,ENSG00000160710,ENSMFAG00000003217,ENSMUSG00000027951,ENSRNOG00000020744,ENSCAFG00000017169
ADARB1,ENSG00000197381,ENSMFAG00000011312,ENSMUSG00000020262,ENSRNOG00000001227,ENSCAFG00000011077
ADAT1,ENSG00000065457,ENSMFAG00000026786,ENSMUSG00000031949,ENSRNOG00000019434,ENSCAFG00000020071
ADAT2,ENSG00000189007,ENSMFAG00000003480,ENSMUSG00000019808,ENSRNOG00000046983,ENSCAFG00000000305
ADCK1,ENSG00000063761,ENSMFAG00000003597,ENSMUSG00000021044,ENSRNOG00000012685,ENSCAFG00000017246
