HOG	OG	Gene Tree Parent Clade	Canislupusfamiliaris	Homosapiens	Macacafascicularis	Musmusculus	Rattusnorvegicus
N0.HOG0000010	OG0000002	n93			ENSMFAG00000027149.1, ENSMFAG00000019783.1, ENSMFAG00000032451.1		
N0.HOG0000011	OG0000003	n1	ENSCAFG00000031471.2	ENSG00000269755.1, ENSG00000196826.7, ENSG00000242852.7		ENSMUSG00000074472.10	ENSRNOG00000050600.1
N0.HOG0000012	OG0000003	n6	ENSCAFG00000029454.2, ENSCAFG00000032123.2, ENSCAFG00000049832.1, ENSCAFG00000043244.1, ENSCAFG00000042291.1, ENSCAFG00000049346.1	ENSG00000257355.1, ENSG00000213297.8, ENSG00000196418.12	ENSMFAG00000041032.1	ENSMUSG00000089857.9, ENSMUSG00000055228.8, ENSMUSG00000074837.2, ENSMUSG00000074521.9, ENSMUSG00000089951.8, ENSMUSG00000078901.8, ENSMUSG00000060336.6, ENSMUSG00000095315.2, ENSMUSG00000063364.10, ENSMUSG00000078861.8, ENSMUSG00000072066.7, ENSMUSG00000094942.7, ENSMUSG00000074867.4, ENSMUSG00000074865.11, ENSMUSG00000091183.5, ENSMUSG00000113450.1, ENSMUSG00000074863.5, ENSMUSG00000090963.2, ENSMUSG00000072762.9, ENSMUSG00000080717.10, ENSMUSG00000072763.2, ENSMUSG00000090015.8, ENSMUSG00000066613.14, ENSMUSG00000074832.11, ENSMUSG00000095909.2, ENSMUSG00000071302.10, ENSMUSG00000069208.9, ENSMUSG00000098810.7, ENSMUSG00000074829.10, ENSMUSG00000059423.13, ENSMUSG00000116673.1	ENSRNOG00000016417.5, ENSRNOG00000040024.2, ENSRNOG00000051563.1, ENSRNOG00000048910.1, ENSRNOG00000043289.1, ENSRNOG00000048864.2, ENSRNOG00000054392.1, ENSRNOG00000021900.5, ENSRNOG00000042380.2, ENSRNOG00000037421.4, ENSRNOG00000043048.1, ENSRNOG00000042166.3, ENSRNOG00000049446.2, ENSRNOG00000047293.1, ENSRNOG00000042372.1, ENSRNOG00000047922.2, ENSRNOG00000050729.2, ENSRNOG00000006112.6, ENSRNOG00000050230.1, ENSRNOG00000046638.1, ENSRNOG00000050337.1, ENSRNOG00000048755.2, ENSRNOG00000061679.1, ENSRNOG00000061217.1, ENSRNOG00000050969.1, ENSRNOG00000050384.1, ENSRNOG00000047454.1, ENSRNOG00000059645.1, ENSRNOG00000047007.1, ENSRNOG00000045707.2, ENSRNOG00000054481.1, ENSRNOG00000053380.1, ENSRNOG00000054413.1, ENSRNOG00000048632.2, ENSRNOG00000042226.1, ENSRNOG00000036747.2, ENSRNOG00000046450.1, ENSRNOG00000042665.1, ENSRNOG00000056555.1, ENSRNOG00000051152.2, ENSRNOG00000040213.2, ENSRNOG00000047780.2, ENSRNOG00000053409.1, ENSRNOG00000050796.2, ENSRNOG00000045964.1, ENSRNOG00000000891.5, ENSRNOG00000030410.3
N0.HOG0000013	OG0000004	n2			ENSMFAG00000008682.1, ENSMFAG00000011559.1, ENSMFAG00000028884.1, ENSMFAG00000029380.1, ENSMFAG00000041416.1, ENSMFAG00000039936.1		ENSRNOG00000052047.1
N0.HOG0000014	OG0000004	n8			ENSMFAG00000030069.1, ENSMFAG00000004606.1, ENSMFAG00000011403.1, ENSMFAG00000033836.1, ENSMFAG00000040916.1, ENSMFAG00000011379.1, ENSMFAG00000011501.1, ENSMFAG00000037470.1, ENSMFAG00000011538.1, ENSMFAG00000037237.1, ENSMFAG00000033577.1, ENSMFAG00000011358.1, ENSMFAG00000040717.1, ENSMFAG00000040243.1, ENSMFAG00000045698.1, ENSMFAG00000000494.1	ENSMUSG00000076523.2, ENSMUSG00000094902.2, ENSMUSG00000096490.1, ENSMUSG00000094420.2	ENSRNOG00000030575.4, ENSRNOG00000057548.1, ENSRNOG00000049260.2, ENSRNOG00000031229.4, ENSRNOG00000054128.1, ENSRNOG00000054828.1, ENSRNOG00000033938.5
N0.HOG0000015	OG0000004	n36		ENSG00000242076.2, ENSG00000239975.2, ENSG00000282811.1, ENSG00000242371.1, ENSG00000251546.1, ENSG00000282120.1, ENSG00000250036.1, ENSG00000282394.1, ENSG00000239862.1, ENSG00000231292.6			ENSRNOG00000056052.1
N0.HOG0000016	OG0000004	n46		ENSG00000244575.3, ENSG00000282666.1, ENSG00000282801.1, ENSG00000243466.1, ENSG00000276566.1, ENSG00000241244.1, ENSG00000240864.3, ENSG00000282282.1, ENSG00000282694.3, ENSG00000278857.1, ENSG00000242580.1, ENSG00000281759.1, ENSG00000243290.3, ENSG00000282758.1, ENSG00000241755.1, ENSG00000242766.1, ENSG00000282163.1, ENSG00000239855.1, ENSG00000281978.1, ENSG00000240382.3	ENSMFAG00000002356.1, ENSMFAG00000035451.1	ENSMUSG00000098814.2, ENSMUSG00000076564.2, ENSMUSG00000096422.2, ENSMUSG00000095007.1, ENSMUSG00000076526.6, ENSMUSG00000094345.2, ENSMUSG00000095771.2, ENSMUSG00000076512.2, ENSMUSG00000096461.5, ENSMUSG00000076522.2	ENSRNOG00000061699.1, ENSRNOG00000057220.1, ENSRNOG00000046854.1, ENSRNOG00000047658.1, ENSRNOG00000047415.1, ENSRNOG00000055428.1, ENSRNOG00000047560.2, ENSRNOG00000061431.1, ENSRNOG00000051739.1, ENSRNOG00000056290.1
N0.HOG0000017	OG0000005	n4		ENSG00000203812.2		ENSMUSG00000064220.6	ENSRNOG00000047898.1
N0.HOG0000018	OG0000005	n6		ENSG00000272196.2		ENSMUSG00000063954.7	ENSRNOG00000052555.1
N0.HOG0000019	OG0000005	n8	ENSCAFG00000031860.1	ENSG00000180573.9	ENSMFAG00000009266.1		
N0.HOG0000020	OG0000005	n11		ENSG00000284841.1, ENSG00000181218.5	ENSMFAG00000022240.1	ENSMUSG00000078851.4	
N0.HOG0000021	OG0000005	n16	ENSCAFG00000029759.1	ENSG00000275221.2, ENSG00000196747.4, ENSG00000278677.2, ENSG00000276903.2, ENSG00000196787.3	ENSMFAG00000030530.1, ENSMFAG00000012407.1, ENSMFAG00000025338.1		
N0.HOG0000022	OG0000005	n24	ENSCAFG00000043442.1, ENSCAFG00000044066.1, ENSCAFG00000044672.1, ENSCAFG00000029260.1, ENSCAFG00000028830.1, ENSCAFG00000031754.1	ENSG00000196866.3	ENSMFAG00000026369.1, ENSMFAG00000014433.1		ENSRNOG00000060492.1, ENSRNOG00000049649.1
N0.HOG0000023	OG0000005	n35	ENSCAFG00000024329.2, ENSCAFG00000030507.1				
N0.HOG0000024	OG0000005	n38				ENSMUSG00000061991.2	ENSRNOG00000022146.1
N0.HOG0000025	OG0000005	n47		ENSG00000278463.2		ENSMUSG00000061615.2, ENSMUSG00000069309.2, ENSMUSG00000069301.5	ENSRNOG00000059748.1, ENSRNOG00000051758.1, ENSRNOG00000056411.1
N0.HOG0000026	OG0000005	n53		ENSG00000277075.2		ENSMUSG00000069272.6	ENSRNOG00000058437.1
N0.HOG0000027	OG0000005	n55			ENSMFAG00000006261.1	ENSMUSG00000071516.2	
N0.HOG0000028	OG0000005	n56				ENSMUSG00000063021.3	ENSRNOG00000052594.1
N0.HOG0000029	OG0000005	n59	ENSCAFG00000029078.1	ENSG00000274997.2, ENSG00000276368.2	ENSMFAG00000011778.1, ENSMFAG00000025223.1		
N0.HOG0000030	OG0000005	n64	ENSCAFG00000045621.1, ENSCAFG00000047415.1				
N0.HOG0000031	OG0000005	n66	ENSCAFG00000024315.2	ENSG00000164508.5	ENSMFAG00000005369.1		
N0.HOG0000032	OG0000005	n69	ENSCAFG00000046411.1	ENSG00000184270.6	ENSMFAG00000005184.1	ENSMUSG00000063689.4	ENSRNOG00000048317.1
N0.HOG0000033	OG0000005	n74	ENSCAFG00000012984.1	ENSG00000246705.4	ENSMFAG00000016754.1	ENSMUSG00000060032.6	ENSRNOG00000033045.2, ENSRNOG00000045819.1
N0.HOG0000034	OG0000005	n79		ENSG00000184260.6	ENSMFAG00000005216.1	ENSMUSG00000068855.3	ENSRNOG00000030736.2
N0.HOG0000035	OG0000005	n82	ENSCAFG00000049775.1			ENSMUSG00000069302.5	ENSRNOG00000052845.1
N0.HOG0000036	OG0000006	n3		ENSG00000273983.1		ENSMUSG00000099517.2	
N0.HOG0000037	OG0000006	n6	ENSCAFG00000045750.1, ENSCAFG00000042995.1	ENSG00000278828.1	ENSMFAG00000005045.1	ENSMUSG00000101972.1	
N0.HOG0000038	OG0000006	n10	ENSCAFG00000043815.1	ENSG00000277775.2	ENSMFAG00000004869.1		
N0.HOG0000039	OG0000006	n14			ENSMFAG00000030585.1		ENSRNOG00000056281.1
N0.HOG0000040	OG0000006	n19	ENSCAFG00000049134.1	ENSG00000286522.2			
N0.HOG0000041	OG0000006	n24		ENSG00000285435.2, ENSG00000168148.4	ENSMFAG00000021807.1	ENSMUSG00000069265.2	
N0.HOG0000042	OG0000006	n40	ENSCAFG00000041871.1	ENSG00000203811.1			
N0.HOG0000043	OG0000006	n53	ENSCAFG00000024443.3	ENSG00000203852.3		ENSMUSG00000069310.4	ENSRNOG00000053081.1
N0.HOG0000044	OG0000006	n56		ENSG00000183598.4			ENSRNOG00000050478.1
N0.HOG0000045	OG0000006	n60			ENSMFAG00000045269.1	ENSMUSG00000016559.14, ENSMUSG00000060743.12	ENSRNOG00000006532.5
N0.HOG0000046	OG0000006	n68	ENSCAFG00000047960.1		ENSMFAG00000029389.1, ENSMFAG00000003624.1		
N0.HOG0000047	OG0000006	n70	ENSCAFG00000001207.4, ENSCAFG00000011517.2		ENSMFAG00000019129.1		
N0.HOG0000048	OG0000006	n72			ENSMFAG00000004149.1, ENSMFAG00000021668.1, ENSMFAG00000008400.1, ENSMFAG00000020646.1		ENSRNOG00000032401.3
N0.HOG0000049	OG0000006	n76		ENSG00000188375.5			ENSRNOG00000053155.1
N0.HOG0000050	OG0000006	n77		ENSG00000275714.2	ENSMFAG00000017916.1		ENSRNOG00000046144.1
N0.HOG0000051	OG0000006	n79		ENSG00000287080.2	ENSMFAG00000030731.1	ENSMUSG00000101355.1	
